Name,Gender,Nationality,Age,Stroke,Speciality,US College / University,DI Conference,Birthday,Previous US College / University,Previous DI Conference,Continent 1,Continent 2,ISL Team,Former ISL Teams,Image,,,,,NCAA College,Conference,,USA,North America,
Bobby Finke,Male,USA,24,"IM, Free",Distance,University of Florida,SEC,11/6/1999,,,North America,,N/A,,,,,,,,,,,,
Bowe Becker,Male,USA,26,Free,Sprint,University of Minnesota,B1G,7/7/1997,,,North America,,N/A,"TOK, CAC",,,,,,,,,,,
Brad Tandy,Male,RSA,33,Free,Sprint,University of Arizona,BIG 12,5/2/1991,,,Africa,,N/A,NYB,,,,,,,,,,,
Breeja Larson,Female,USA,32,Breast,Stroke,Texas A&M University,SEC,4/16/1992,,,North America,,N/A,NYB,,,,,,,,,,,
Brendan Burns,Male,USA,26,"Fly, Back",Stroke,Indiana University,B1G,1/1/1998,,,North America,,N/A,,,,,,,,,,,,
Brendon Smith,Male,AUS,23,"IM, Free",Mid-D,N/A,N/A,7/4/2000,,,Austrailia,,NYB,,,,,,,,,,,,
Brent Hayden,Male,CAN,40,Free,Sprint,N/A,N/A,10/21/1983,,,North America,,N/A,TOR,,,,,,,,,,,
Brianna Throssell,Female,AUS,28,"Fly, Free",Stroke,N/A,N/A,2/10/1996,,,Austrailia,,DCT,,,,,,,,,,,,
Brodie Williams,Male,GBR,25,"IM, Back",Mid-D,N/A,N/A,3/18/1999,,,Europe,,CAC,,,,,,,,,,,,
Bronte Campbell,Female,AUS,30,Free,Sprint,N/A,N/A,5/14/1994,,,Austrailia,,N/A,"LAC, LON",,,,,,,,,,,
Brooke Forde,Female,USA,25,"IM, Free",Mid-D,Stanford University,ACC,3/4/1999,,,North America,,N/A,,,,,,,,,,,,
Brooks Curry,Male,USA,23,Free,Sprint,Louisiana State University,SEC,1/20/2001,,,North America,,N/A,,,,,,,,,,,,
Bruno Fratus,Male,BRA,34,Free,Sprint,N/A,N/A,6/30/1989,,,South America,,N/A,TOK,,,,,,,,,,,
Bryce Mefford,Male,USA,25,Back,Stroke,"University of California, Berkeley",ACC,10/3/1998,,,North America,,N/A,,,,,,,,,,,,
Caeleb Dressel,Male,USA,27,"Fly, Free",Sprint,University of Florida,SEC,8/16/1996,,,North America,,CAC,,,,,,,,,,,,
Caio Pumputis,Male,BRA,25,"IM, Breast",Stroke,Georgia Tech University,ACC,1/8/1999,,,South America,,N/A,,,,,,,,,,,,
Camden Murphy,Male,USA,25,Fly,Stroke,University of Georgia,SEC,4/6/1999,,,North America,,DCT,,,,,,,,,,,,
Cameron McEvoy,Male,AUS,30,Free,Sprint,N/A,N/A,5/13/1994,,,Austrailia,,N/A,"LON, NYB",,,,,,,,,,,
Carson Foster,Male,USA,22,"IM, Back",Mid-D,University of Texas,SEC,10/26/2001,,,North America,,N/A,,,,,,,,,,,,
Caspar Corbeau,Male,NED,23,Breast,Stroke,University of Texas,SEC,4/3/2001,,,Europe,,N/A,,,,,,,,,,,,
Cate Campbell,Female,AUS,32,Free,Sprint,N/A,N/A,5/20/1992,,,Austrailia,,N/A,LON,,,,,,,,,,,
Catie DeLoof,Female,USA,27,"Back, Free",Sprint,University of Michigan,B1G,2/12/1997,,,North America,,TOK,NYB,,,,,,,,,,,
Chad Le Clos,Male,RSA,32,Fly,Stroke,N/A,N/A,4/12/1992,,,Africa,,ENS,,,,,,,,,,,,
Charlie Clark,Male,USA,21,Free,Distance,Ohio State University,B1G,6/17/2002,,,North America,,N/A,,,,,,,,,,,,
Charlie Swanson,Male,USA,26,"IM, Breast",Mid-D,University of Michigan,B1G,2/20/1998,,,North America,,ENS,,,,,,,,,,,,
Charlotte Bonnet,Female,FRA,29,"Breast, Free",Stroke,N/A,N/A,2/15/1995,,,Europe,,N/A,ENS,,,,,,,,,,,
Chase Kalisz,Male,USA,30,"IM, Fly",Mid-D,University of Georgia,SEC,3/7/1994,,,North America,,AQC,LAC,,,,,,,,,,,
Chelsea Hodges,Female,AUS,22,Breast,Stroke,N/A,N/A,6/27/2001,,,Austrailia,,TOR,,,,,,,,,,,,
Chris Guiliano,Male,USA,20,Free,Sprint,University of Notre Dame,ACC,6/25/2003,,,North America,,N/A,,,,,,,,,,,,
Christian Diener,Male,GER,30,Back,Stroke,N/A,N/A,6/3/1993,,,Europe,,LON,,,,,,,,,,,,
Claire Curzan,Female,USA,19,"Fly, Back",Stroke,University of Virginia,ACC,6/30/2004,Stanford University,ACC,North America,,N/A,,,,,,,,,,,,
Claire Weinstein,Female,USA,17,"IM, Free",Mid-D,"University of California, Berkeley",ACC,3/1/2007,,,North America,,N/A,,,,,,,,,,,,
Clyde Lewis,Male,AUS,26,Free,Mid-D,N/A,N/A,9/25/1997,,,Austrailia,,N/A,"NYB, CAC",,,,,,,,,,,
Cody Miller,Male,USA,32,Breast,Stroke,Indiana University,B1G,1/9/1992,,,North America,,DCT,,,,,,,,,,,,
Cody Simpson,Male,AUS,27,"Fly, Free",Sprint,N/A,N/A,1/11/1997,,,Austrailia,,N/A,,,,,,,,,,,,
Coleman Stewart,Male,USA,26,"Fly, Back",Stroke,North Carolina State University,ACC,3/3/1998,,,North America,,CAC,,,,,,,,,,,,
Daiya Seto,Male,JPN,29,"IM, Fly",Mid-D,N/A,N/A,5/24/1994,,,Asia,,TOK,ENS,,,,,,,,,,,
Dakota Luther,Female,USA,24,Fly,Stroke,University of Texas,SEC,11/7/1999,University of Georgia,SEC,North America,,N/A,,,,,,,,,,,,
Dakota Luther,Female,USA,24,Fly,Stroke,University of Texas,SEC,11/7/1999,University of Georgia,SEC,North America,,N/A,,,,,,,,,,,,
Danas Rapsys,Male,LTU,29,Free,Mid-D,N/A,N/A,5/21/1995,,,Europe,,N/A,ENS,,,,,,,,,,,
Daniel Jervis,Male,GBR,27,Free,Distance,N/A,N/A,6/9/1996,,,Europe,,N/A,,,,,,,,,,,,
Daniel Wiffen,Male,IRL,22,Free,Distance,N/A,N/A,7/14/2001,,,Europe,,N/A,,,,,,,,,,,,
Dare Rose,Male,USA,21,Fly,Stroke,"University of California, Berkeley",ACC,11/1/2002,,,North America,,N/A,,,,,,,,,,,,
David Curtiss,Male,USA,21,Free,Sprint,North Carolina State University,ACC,7/4/2002,,,North America,,N/A,,,,,,,,,,,,
David Johnston,Male,USA,23,"IM, Free",Distance,University of Texas,SEC,1/1/2001,,,North America,,N/A,,,,,,,,,,,,
David Popovici,Male,ROM,19,Free,Sprint,N/A,N/A,9/15/2004,,,Europe,,N/A,NYB,,,,,,,,,,,
David Verraszto,Male,HUN,35,"IM, Breast",Mid-D,N/A,N/A,8/22/1988,,,Europe,,IRO,,,,,,,,,,,,
Dean Farris,Male,USA,26,"Back, Free",Sprint,Harvard University,IV League,11/14/1997,,,North America,,N/A,,,,,,,,,,,,
Derek Maas,Male,USA,24,Breast,Stroke,University of Alabama,SEC,1/1/2000,,,North America,,N/A,,,,,,,,,,,,
Destin Lasco,Male,USA,22,"IM, Back",Stroke,"University of California, Berkeley",ACC,8/7/2001,,,North America,,N/A,,,,,,,,,,,,
Drew Kibler,Male,USA,24,Free,Mid-D,University of Texas,SEC,3/9/2000,,,North America,,N/A,,,,,,,,,,,,
Duncan Scott,Male,GBR,27,"IM, Free",Mid-D,N/A,N/A,5/6/1997,,,Europe,,LON,,,,,,,,,,,,
Dylan Carter,Male,TTO,28,"Fly, Back",Sprint,University of Southern California,B1G,1/30/1996,,,South America,,LON,LAC,,,,,,,,,,,
Eddie Wang,Male,TWN,22,Fly,Mid-D,N/A,N/A,1/23/2002,,,Asia,,CAC,,,,,,,,,,,,
Elena Di Liddo,Female,ITA,30,"Fly, Free",Sprint,N/A,N/A,9/8/1993,,,Europe,,AQC,,,,,,,,,,,,
Elijah Winnington,Male,AUS,24,Free,Mid-D,N/A,N/A,5/5/2000,,,Austrailia,,N/A,LON,,,,,,,,,,,
Elizabeth Beisel,Female,USA,31,"IM, Back",Mid-D,University of Florida,SEC,8/18/1992,,,North America,,N/A,,,,,,,,,,,,
Elizabeth Dekkers,Female,AUS,20,Fly,Stroke,N/A,N/A,5/6/2004,,,Austrailia,,N/A,,,,,,,,,,,,
Ella Eastin,Female,USA,27,"IM, Fly",Mid-D,Stanford University,ACC,3/28/1997,,,North America,,N/A,,,,,,,,,,,,
Ella Jansen,Female,CAN,18,"IM, Free",Mid-D,University of Tennessee,SEC,9/1/2005,,,North America,,N/A,,,,,,,,,,,,
Ella Nelson,Female,USA,23,"IM, Breast",Mid-D,University of Virginia,ACC,1/1/2001,,,North America,,N/A,,,,,,,,,,,,
Ellen Walshe,Female,IRL,22,"IM, Fly",Mid-D,University of Tennessee,SEC,9/29/2001,,,Europe,,N/A,,,,,,,,,,,,
Emilie Beckmann,Female,DEN,27,"Fly, Free",Sprint,N/A,N/A,2/4/1997,,,Europe,,IRO,,,,,,,,,,,,
Emily Escobedo,Female,USA,28,Breast,Stroke,"University of Maryland, Baltimore County",America East,12/17/1995,,,North America,,N/A,"CAC, NYB",,,,,,,,,,,
Emily Seebohm,Female,AUS,31,Back,Stroke,N/A,N/A,6/5/1992,,,Austrailia,,ENS,,,,,,,,,,,,
Emma McKeon,Female,AUS,29,"Fly, Free",Sprint,N/A,N/A,5/24/1994,,,Austrailia,,LON,,,,,,,,,,,,
Emma Sticklen,Female,USA,22,"Fly, Free",Stroke,University of Texas,SEC,1/1/2002,,,North America,,N/A,,,,,,,,,,,,
Emma Weyant,Female,USA,22,"IM, Free",Distance,University of Florida,SEC,12/24/2001,University of Virginia,ACC,North America,,N/A,,,,,,,,,,,,
Emre Sakci,Male,TUR,26,Breast,Sprint,N/A,N/A,11/15/1997,,,Asia,Europe,IRO,,,,,,,,,,,,
Eric Friese,Male,GER,24,"Fly, Free",Sprint,University of Florida,SEC,8/1/1999,,,Europe,,N/A,,,,,,,,,,,,
Erica Sullivan,Female,USA,23,Free,Distance,University of Texas,SEC,6/9/2000,,,North America,,N/A,,,,,,,,,,,,
Erika Brown,Female,USA,25,"Fly, Free",Sprint,University of Tennessee,SEC,8/27/1998,,,North America,,CAC,,,,,,,,,,,,
Erika Fairweather,Female,NZL,20,Free,Mid-D,N/A,N/A,12/31/2003,,,Austrailia,,N/A,,,,,,,,,,,,
Erin Gemmell,Female,USA,19,Free,Mid-D,University of Texas,SEC,12/2/2004,,,North America,,N/A,,,,,,,,,,,,
Evgeniia Chikunova,Female,RUS,19,Breast,Stroke,N/A,N/A,11/17/2004,,,Asia,Europe,ENS,,,,,,,,,,,,
Evgeny Rylov,Male,RUS,27,"Back, Free",Stroke,N/A,N/A,9/23/1996,,,Asia,Europe,ENS,,,,,,,,,,,,
Fabian Schwingenschlogl,Male,GER,32,Breast,Stroke,University of Missouri,SEC,8/15/1991,,,Europe,,TOR,,,,,,,,,,,,
Fabio Scozzoli,Male,ITA,35,Breast,Stroke,N/A,N/A,8/3/1988,,,Europe,,AQC,,,,,,,,,,,,
Farida Osman,Female,EGY,29,"Fly, Free",Sprint,"University of California, Berkeley",ACC,1/18/1995,,,Asia,Africa,DCT,LON,,,,,,,,,,,
Federica Pelligrini,Female,ITA,35,Free,Mid-D,N/A,N/A,8/5/1988,,,Europe,,AQC,,,,,,,,,,,,
Felipe Lima,Male,BRA,39,Breast,Sprint,N/A,N/A,4/5/1985,,,South America,,ENS,LAC,,,,,,,,,,,
Felipe Silva,Male,BRA,37,Breast,Sprint,N/A,N/A,5/14/1987,,,South America,,DCT,LAC,,,,,,,,,,,
Felix Auboeck,Male,AUT,27,Free,Distance,University of Michigan,B1G,12/19/1996,,,Europe,,NYB,,,,,,,,,,,,
Femke Heemskerk,Female,NED,36,Free,Sprint,N/A,N/A,9/21/1987,,,Europe,,N/A,ENS,,,,,,,,,,,
Fernando Scheffer,Male,BRA,26,Free,Mid-D,N/A,N/A,4/6/1998,,,South America,,LAC,,,,,,,,,,,,
Finlay Knox,Male,CAN,23,"IM, Back",Stroke,N/A,N/A,1/8/2001,,,North America,,TOR,,,,,,,,,,,,
Florent Manaudou,Male,FRA,33,Free,Sprint,N/A,N/A,11/12/1990,,,Europe,,ENS,,,,,,,,,,,,
Florian Wellbrock,Male,GER,26,Free,Distance,N/A,N/A,8/19/1997,,,Europe,,N/A,,,,,,,,,,,,
Freya Anderson,Female,GBR,23,Free,Mid-D,N/A,N/A,3/4/2001,,,Europe,,LON,AQC,,,,,,,,,,,
Gabby DeLoof,Female,USA,28,"Back, Free",Sprint,University of Michigan,B1G,3/13/1996,,,North America,,TOK,NYB,,,,,,,,,,,
Gabi Albiero,Female,USA,22,"Fly, Free",Sprint,University of Louisville,ACC,1/16/2002,,,North America,,N/A,,,,,,,,,,,,
Gabiel Fantoni,Male,BRA,22,"Fly, Back",Stroke,Indiana University,B1G,1/1/2002,,,South America,,N/A,,,,,,,,,,,,
Gabriel Jett,Male,USA,21,"Fly, Free",Stroke,"University of California, Berkeley",ACC,10/14/2002,,,North America,,N/A,,,,,,,,,,,,
Gabriele Detti,Male,ITA,29,Free,Distance,N/A,N/A,8/29/1994,,,Europe,,N/A,,,,,,,,,,,,
Giles Smith,Male,USA,32,"Fly, Free",Sprint,University of Arizona,BIG 12,11/28/1991,,,North America,,N/A,DCT,,,,,,,,,,,
Grant House,Male,USA,25,Free,Sprint,Arizona State University,BIG 12,6/19/1998,,,North America,,N/A,,,,,,,,,,,,
Grant Shoults,Male,USA,26,Free,Distance,Stanford University,ACC,6/6/1997,,,North America,,N/A,,,,,,,,,,,,
Gregorio Paltrinieri,Male,ITA,29,Free,Distance,N/A,N/A,9/5/1994,,,Europe,,N/A,,,,,,,,,,,,
Gretchen Walsh,Female,USA,21,"Back, Free",Sprint,University of Virginia,ACC,1/29/2003,,,North America,,N/A,,,,,,,,,,,,
Grigory Tarasevich,Male,RUS,28,Back,Stroke,University of Louisville,ACC,8/1/1995,,,Asia,Europe,TOK,NYB,,,,,,,,,,,
Guilherme Costa,Male,BRA,25,Free,Distance,N/A,N/A,10/1/1998,,,South America,,N/A,,,,,,,,,,,,
Guilherme Guido,Male,BRA,37,Back,Sprint,N/A,N/A,2/12/1987,,,South America,,LON,,,,,,,,,,,,
Guilherme Santos,Male,BRA,20,"Fly, Free",Sprint,University of Tennessee,SEC,1/1/2004,,,South America,,N/A,,,,,,,,,,,,
Gunnar Bentz,Male,USA,28,"IM, Fly",Mid-D,University of Georgia,SEC,1/3/1996,,,North America,,N/A,"CAC, IRO",,,,,,,,,,,
Haiyang Qin,Male,CHN,25,Breast,Stroke,N/A,N/A,5/17/1999,,,Asia,,N/A,,,,,,,,,,,,
Haley Anderson,Female,USA,32,Free,Distance,University of Southern California,B1G,11/20/1991,,,North America,,N/A,CAC,,,,,,,,,,,
Hali Flickinger,Female,USA,29,"IM, Fly",Mid-D,University of Georgia,SEC,7/7/1994,,,North America,,CAC,,,,,,,,,,,,
Henrik Christiansen,Male,NOR,27,Free,Distance,N/A,N/A,10/9/1996,,,Europe,,N/A,IRO,,,,,,,,,,,
Hubert Kos,Male,HUN,21,"IM, Back",Mid-D,University of Texas,SEC,3/28/2003,Arizona State University,BIG 12,Europe,,N/A,,,,,,,,,,,,
Hugo Gonzalez,Male,SPN,25,"IM, Back",Mid-D,"University of California, Berkeley",ACC,2/19/1999,Auburn University,SEC,Europe,Africa,N/A,,,,,,,,,,,,
Hunter Armstrong,Male,USA,23,"Back, Free",Sprint,Ohio State University,B1G,1/24/2001,,,North America,,N/A,,,,,,,,,,,,
Hwang Sun-Woo,Male,KOR,21,Free,Sprint,N/A,N/A,5/21/2003,,,Asia,,N/A,,,,,,,,,,,,
Ian Finnerty,Male,USA,27,Breast,Stroke,Indiana University,B1G,8/2/1996,,,North America,,N/A,DCT,,,,,,,,,,,
Ilia Borodin,Male,RUS,21,IM,Mid-D,N/A,N/A,2/14/2003,,,Asia,Europe,AQC,,,,,,,,,,,,
Ilya Kharun,Male,CAN,19,Fly,Stroke,Arizona State University,BIG 12,2/7/2005,,,North America,,N/A,,,,,,,,,,,,
Ilya Shimanovich,Male,BLR,29,Breast,Stroke,N/A,N/A,8/2/1994,,,Europe,,ENS,,,,,,,,,,,,
Ingrid Wilm,Female,CAN,25,Back,Stroke,N/A,N/A,6/8/1998,,,North America,,LAC,,,,,,,,,,,,
Isaac Cooper,Male,AUS,20,"Back, Free",Sprint,N/A,N/A,1/7/2004,,,Austrailia,,N/A,,,,,,,,,,,,
Isabel Gose,Female,GER,22,Free,Distance,N/A,N/A,5/9/2002,,,Europe,,N/A,,,,,,,,,,,,
Isabel Ivey,Female,USA,23,"IM, Free",Stroke,University of Florida,SEC,11/22/2000,"University of California, Berkeley",ACC,North America,,N/A,,,,,,,,,,,,
Isabelle Stadden,Female,USA,21,Back,Stroke,"University of California, Berkeley",ACC,7/9/2002,,,North America,,N/A,,,,,,,,,,,,
Jack Aikins,Male,USA,21,Back,Stroke,University of Virginia,ACC,10/11/2002,,,North America,,N/A,,,,,,,,,,,,
Jack Alexy,Male,USA,21,Free,Sprint,"University of California, Berkeley",ACC,1/19/2003,,,North America,,N/A,,,,,,,,,,,,
Jack Cartwright,Male,AUS,25,Free,Stroke,N/A,N/A,9/22/1998,,,Austrailia,,N/A,,,,,,,,,,,,
Jack Conger,Male,USA,29,Fly,Stroke,University of Texas,SEC,9/26/1994,,,North America,,N/A,LAC,,,,,,,,,,,
Jack Dahlgren,Male,USA,24,"Back, Free",Stroke,University of Missouri,SEC,1/1/2000,,,North America,,N/A,,,,,,,,,,,,
Jack McLoughlin,Male,AUS,29,Free,Distance,N/A,N/A,2/1/1995,,,Austrailia,,N/A,NYB,,,,,,,,,,,
Jacob Pebley,Male,USA,30,Back,Stroke,"University of California, Berkeley",ACC,9/17/1993,,,North America,,DCT,NYB,,,,,,,,,,,
Jake Foster,Male,USA,23,"IM, Breast",Mid-D,University of Texas,SEC,9/6/2000,,,North America,,N/A,,,,,,,,,,,,
Jake Magahey,Male,USA,22,Free,Distance,University of Georgia,SEC,9/14/2001,,,North America,,N/A,,,,,,,,,,,,
Jake Mitchell,Male,USA,22,Free,Distance,University of Florida,SEC,12/22/2001,University of Michigan,B1G,North America,,N/A,,,,,,,,,,,,
James Guy,Male,GBR,28,"Fly, Free",Mid-D,N/A,N/A,11/26/1995,,,Europe,,ENS,LON,,,,,,,,,,,
James Wilby,Male,GBR,30,Breast,Stroke,N/A,N/A,11/12/1993,,,Europe,,NYB,,,,,,,,,,,,
Jarod Arroyo,Male,PUR,23,"IM, Back",Mid-D,Arizona State University,BIG 12,1/2/2001,,,North America,,N/A,,,,,,,,,,,,
Jasmine Nocentini,Female,ITA,22,"Breast, Free",Sprint,University of Virginia,ACC,1/1/2002,Northwestern University,B1G,Europe,,N/A,,,,,,,,,,,,
Javier Acevedo,Male,CAN,26,"IM, Back",Stroke,University of Georgia,SEC,1/28/1998,,,North America,,LAC,,,,,,,,,,,,
Jay Litherland,Male,USA,28,"IM, Free",Mid-D,University of Georgia,SEC,8/24/1995,,,North America,,DCT,,,,,,,,,,,,
